account_id,month,active_users,total_logins,features_used,avg_session_minutes,last_login_date,licensed_seats,seat_utilisation_pct
ACC017,2026-03,70,630,12,30,2026-05-04,109,64.2
ACC017,2026-04,65,520,11,28,2026-05-04,109,59.6
ACC017,2026-05,61,671,10,26,2026-05-05,109,56.0
ACC018,2026-03,2,18,12,30,2026-04-06,5,40.0
ACC018,2026-04,1,6,9,23,2026-04-09,5,20.0
ACC018,2026-05,1,6,7,19,2026-04-06,5,20.0
ACC019,2026-03,13,143,12,30,2026-05-08,16,81.2
ACC019,2026-04,13,91,12,31,2026-05-08,16,81.2
ACC019,2026-05,13,117,12,31,2026-05-12,16,81.2
ACC020,2026-03,92,1104,12,30,2026-05-13,109,84.4
ACC020,2026-04,94,752,12,30,2026-05-12,109,86.2
ACC020,2026-05,101,1111,13,33,2026-05-09,109,92.7
ACC021,2026-03,52,624,12,30,2026-04-30,80,65.0
ACC021,2026-04,47,329,10,27,2026-05-03,80,58.8
ACC021,2026-05,42,462,9,24,2026-05-01,80,52.5
ACC022,2026-03,44,352,12,30,2026-05-05,68,64.7
ACC022,2026-04,40,400,11,27,2026-04-30,68,58.8
ACC022,2026-05,35,385,9,24,2026-04-30,68,51.5
ACC023,2026-03,18,108,12,30,2026-05-03,28,64.3
ACC023,2026-04,16,176,10,27,2026-05-02,28,57.1
ACC023,2026-05,14,112,9,24,2026-04-30,28,50.0
ACC024,2026-03,79,632,12,30,2026-05-10,93,84.9
ACC024,2026-04,81,810,12,30,2026-05-10,93,87.1
ACC024,2026-05,83,581,12,31,2026-05-11,93,89.2
ACC025,2026-03,37,222,12,30,2026-05-01,58,63.8
ACC025,2026-04,34,306,11,27,2026-05-01,58,58.6
ACC025,2026-05,31,279,10,25,2026-05-04,58,53.4
ACC026,2026-03,46,506,12,30,2026-05-05,72,63.9
ACC026,2026-04,41,492,10,27,2026-05-03,72,56.9
ACC026,2026-05,40,440,10,26,2026-05-04,72,55.6
ACC027,2026-03,29,319,12,30,2026-05-01,46,63.0
ACC027,2026-04,26,312,11,27,2026-05-05,46,56.5
ACC027,2026-05,25,300,10,26,2026-05-01,46,54.3
ACC028,2026-03,24,168,12,30,2026-05-02,38,63.2
ACC028,2026-04,22,176,11,28,2026-05-03,38,57.9
ACC028,2026-05,19,114,9,24,2026-05-04,38,50.0
ACC029,2026-03,3,18,12,30,2026-04-05,8,37.5
ACC029,2026-04,2,18,9,22,2026-04-09,8,25.0
ACC029,2026-05,1,11,6,16,2026-04-09,8,12.5
ACC030,2026-03,76,760,12,30,2026-05-11,90,84.4
ACC030,2026-04,79,711,12,31,2026-05-10,90,87.8
ACC030,2026-05,82,656,12,32,2026-05-11,90,91.1
ACC031,2026-03,32,288,12,30,2026-04-07,73,43.8
ACC031,2026-04,26,286,10,25,2026-04-07,73,35.6
ACC031,2026-05,17,136,6,16,2026-04-09,73,23.3
ACC032,2026-03,11,66,12,30,2026-04-06,26,42.3
ACC032,2026-04,8,88,9,22,2026-04-09,26,30.8
ACC032,2026-05,7,70,8,20,2026-04-06,26,26.9
ACC033,2026-03,6,48,12,30,2026-04-09,14,42.9
ACC033,2026-04,4,28,9,24,2026-04-07,14,28.6
ACC033,2026-05,3,21,7,17,2026-04-07,14,21.4
ACC034,2026-03,49,539,12,30,2026-04-08,110,44.5
ACC034,2026-04,40,480,9,24,2026-04-07,110,36.4
ACC034,2026-05,24,264,6,15,2026-04-05,110,21.8
ACC035,2026-03,19,209,12,30,2026-05-03,30,63.3
ACC035,2026-04,17,187,11,28,2026-05-01,30,56.7
ACC035,2026-05,16,160,10,25,2026-04-30,30,53.3
ACC036,2026-03,39,468,12,30,2026-05-13,47,83.0
ACC036,2026-04,41,451,12,31,2026-05-13,47,87.2
ACC036,2026-05,42,378,13,33,2026-05-12,47,89.4
ACC037,2026-03,22,242,12,30,2026-05-04,35,62.9
ACC037,2026-04,20,200,11,28,2026-05-02,35,57.1
ACC037,2026-05,18,180,10,25,2026-04-30,35,51.4
ACC038,2026-03,12,108,12,30,2026-05-08,15,80.0
ACC038,2026-04,12,72,12,31,2026-05-09,15,80.0
ACC038,2026-05,13,78,13,32,2026-05-13,15,86.7
ACC039,2026-03,26,260,12,30,2026-05-11,31,83.9
ACC039,2026-04,26,312,12,30,2026-05-08,31,83.9
ACC039,2026-05,28,336,13,32,2026-05-12,31,90.3
ACC040,2026-03,5,50,12,30,2026-05-12,6,83.3
ACC040,2026-04,5,50,12,30,2026-05-09,6,83.3
ACC040,2026-05,5,40,12,31,2026-05-11,6,83.3
ACC041,2026-03,9,81,12,30,2026-05-10,11,81.8
ACC041,2026-04,9,99,12,31,2026-05-12,11,81.8
ACC041,2026-05,9,108,12,31,2026-05-13,11,81.8
ACC042,2026-03,19,171,12,30,2026-04-07,44,43.2
ACC042,2026-04,15,90,9,23,2026-04-05,44,34.1
ACC042,2026-05,13,91,8,20,2026-04-10,44,29.5
ACC043,2026-03,7,77,12,30,2026-05-03,12,58.3
ACC043,2026-04,6,72,11,27,2026-05-05,12,50.0
ACC043,2026-05,5,30,9,24,2026-05-04,12,41.7
ACC044,2026-03,43,473,12,30,2026-05-01,67,64.2
ACC044,2026-04,39,234,11,27,2026-05-05,67,58.2
ACC044,2026-05,35,280,9,24,2026-05-01,67,52.2
ACC045,2026-03,14,98,12,30,2026-04-08,33,42.4
ACC045,2026-04,11,77,10,25,2026-04-06,33,33.3
ACC045,2026-05,9,108,8,20,2026-04-05,33,27.3
ACC046,2026-03,7,56,12,30,2026-05-04,11,63.6
ACC046,2026-04,6,60,11,27,2026-05-02,11,54.5
ACC046,2026-05,5,50,9,24,2026-05-03,11,45.5
ACC047,2026-03,12,84,12,30,2026-04-05,27,44.4
ACC047,2026-04,9,90,9,23,2026-04-05,27,33.3
ACC047,2026-05,6,36,6,15,2026-04-10,27,22.2
ACC048,2026-03,12,72,12,30,2026-04-08,28,42.9
ACC048,2026-04,9,90,9,23,2026-04-06,28,32.1
ACC048,2026-05,7,84,7,18,2026-04-08,28,25.0
ACC049,2026-03,2,24,12,30,2026-04-07,5,40.0
ACC049,2026-04,1,8,9,24,2026-04-06,5,20.0
ACC049,2026-05,1,9,6,15,2026-04-09,5,20.0
ACC050,2026-03,12,108,12,30,2026-05-13,15,80.0
ACC050,2026-04,12,96,12,31,2026-05-12,15,80.0
ACC050,2026-05,13,78,13,32,2026-05-11,15,86.7
